cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,objname_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
1546,3.861916,-85.277725,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL160A_J121857.2+471814,red,184.738359,47.303970,0.000037,0.000025,5827.435,21.708,5.420,606.209,27.723,null,0.000000,f,1342220105
1546,4.218409,-86.274151,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL160A_J121857.1+471814,red,184.738211,47.303958,0.000059,0.000040,6201.556,22.577,5.595,597.959,27.837,null,0.000000,f,1342235143
1546,14.618896,-165.909501,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL070A_J121857.2+471800,blue,184.738478,47.299943,0.000051,0.000034,2423.027,3.798,null,602.753,12.143,null,0.000000,f,1342220105
1546,14.853202,-164.389888,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL070A_J121857.1+471800,blue,184.738298,47.299908,0.000058,0.000039,2475.235,4.070,null,585.577,13.458,null,0.000000,f,1342235143
1546,20.100193,57.490996,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL070A_J121859.2+471825,blue,184.746879,47.306882,0.000070,0.000047,1900.881,3.239,null,803.240,14.809,9.922,0.669969,f,1342235143
1546,20.362261,56.435598,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL070A_J121859.2+471825,blue,184.746886,47.307009,0.000041,0.000028,1888.521,2.777,null,887.797,14.559,9.336,0.641294,f,1342220105
1546,30.589815,176.185775,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL160A_J121857.7+471743,red,184.740769,47.295403,0.000119,0.000081,3676.442,15.859,5.441,450.935,33.642,null,0.000000,f,1342220105
1546,32.145960,176.844248,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL160A_J121857.7+471742,red,184.740660,47.294966,0.000159,0.000108,3592.601,15.551,4.731,450.238,33.671,null,0.000000,f,1342235143
1551,17.401270,-31.474894,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL100A_J132951.8+471157,green,202.465833,47.199273,0.000047,0.000032,18885.314,12.349,null,3663.564,21.449,null,0.000000,f,1342178524
1551,19.650493,-51.102868,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL070A_J132951.1+471155,blue,202.463295,47.198578,0.000150,0.000102,12162.991,3.692,null,2206.684,12.690,null,0.000000,f,1342178536
1551,26.021569,-112.190631,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL160A_J132950.3+471133,red,202.459698,47.192421,0.000047,0.000032,23053.715,18.485,5.528,2860.003,63.395,null,0.000000,f,1342178865
1551,27.938888,-113.878364,2.0246954700E+02,4.7195151000E+01,VFID1550,NGC5194,HPESL100A_J132950.1+471131,green,202.459104,47.192009,0.000037,0.000025,17524.401,10.189,null,3915.549,19.648,null,0.000000,f,1342178512
