cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
2415,28.597903,162.530812,213.90,36.20,VFID2414,null,HPESL100A_J141536.2+361133,green,213.901219,36.192386,0.000313,0.000252,9.283,1.797,3.228,41.77,18.441,8.725,0.473127,f,1342222509
2464,13.656513,66.800543,203.98,35.59,VFID2463,NGC5240,HPESL100A_J133556.2+353523,green,203.984252,35.589746,0.000254,0.000206,373.483,6.612,null,96.655,19.212,6.397,0.33295,t,1342210480
2493,0.760494,-58.166004,217.61,35.32,VFID2492,NGC5656,HPESL160A_J143025.4+351916,red,217.606052,35.321084,0.000053,0.000043,5948.479,22.821,22.293,267.619,34.416,20.382,0.592224,f,1342187711
2499,1.56612,-56.061098,158.62,35.26,VFID2498,UGC05738,HPESL100A_J103429.7+351525,green,158.623795,35.256977,0.000068,0.000056,924.109,34.365,null,81.078,15.611,10.394,0.66579,f,1342255453
2536,7.651375,127.958197,194.76,34.86,VFID2535,PGC044532,HPESL160A_J125902.3+345134,red,194.759729,34.859378,0.00026,0.000213,238.985,8.507,4.69,33.039,32.796,16.324,0.497748,t,1342211384
2545,2.567897,52.059573,162.10,34.71,VFID2544,NGC3381,HPESL160A_J104824.9+344243,red,162.10409,34.711841,0.000082,0.000068,1635.923,21.382,9.057,125.994,29.441,12.246,0.415941,f,1342255910
2621,22.743142,104.226599,208.32,33.49,VFID2620,NGC5347,HPESL160A_J135319.5+332921,red,208.331504,33.489272,0.000221,0.000185,963.824,6.16,4.438,177.946,47.471,null,0,t,1342246878
2666,30.003527,-123.60287,162.48,32.99,VFID2665,NGC3396,HPESL070A_J104953.0+325910,blue,162.471204,32.986211,0.000069,0.000058,2045.426,3.752,null,583.222,15.961,8.467,0.530474,f,1342221104
2668,3.376631,-46.127077,162.46,32.98,VFID2667,NGC3395,HPESL160A_J104949.9+325901,red,162.457985,32.983483,0.000012,0.00001,4487.384,30.992,10.9,313.427,30.425,19.253,0.63281,t,1342221104
2671,0.396111,177.845068,163.05,32.95,VFID2670,NGC3430,HPESL160A_J105211.4+325701,red,163.047525,32.950314,0.000077,0.000065,3656.79,20.91,6.496,343.998,25.04,19.866,0.793376,f,1342255914
2678,31.293727,-63.259952,162.94,32.90,VFID2677,NGC3424,HPESL100A_J105144.1+325415,green,162.934059,32.90422,0.000019,0.000016,3228.424,2.312,5.565,4585.714,14.231,8.078,0.567657,f,1342255914
2710,2.470636,38.773745,190.53,32.54,VFID2709,NGC4631,HPESL070A_J124207.9+323235,blue,190.533172,32.543052,0.000001,0.000001,18866.542,2.756,null,4074.19,14.834,6.992,0.47134,t,1342235130
2724,2.018253,-146.465069,179.38,32.33,VFID2723,NGC3991,HPESL100A_J115730.3+322002,green,179.376566,32.333782,0.000013,0.000011,2212.66,13.813,12.38,518.436,17.02,7.884,0.46323,f,1342211801
2725,21.601974,37.489551,179.43,32.29,VFID2724,SDSSJ115742.61+321702.7,HPESL100A_J115744.9+321755,green,179.437333,32.298671,0.000032,0.000027,1759.324,11.962,null,308.704,27.55,null,0,f,1342211801
2728,2.776538,163.299803,179.40,32.28,VFID2727,NGC3994,HPESL100A_J115736.9+321637,green,179.403879,32.276928,0.000008,0.000006,6971.798,360.26,null,63.9,14.579,null,0,f,1342211801
2761,6.827115,-63.492086,174.94,31.93,VFID2760,NGC3788,HPESL070A_J113944.1+315556,blue,174.933796,31.932087,0.000067,0.000057,927.596,4.414,4.196,329.701,15.561,null,0,f,1342223319
2765,22.100422,58.664276,174.93,31.91,VFID2764,NGC3786,HPESL070A_J113943.9+315437,blue,174.932931,31.910323,0.000081,0.000069,1112.782,4.618,null,293.264,15.382,8.807,0.572569,f,1342223319
2796,6.346417,-77.026723,186.05,31.52,VFID2795,NGC4359,HPESL100A_J122410.6+313120,green,186.044387,31.52231,0.000128,0.000109,720.694,15.647,null,113.757,14.474,null,0,f,1342257125
2882,14.040182,93.54872,188.46,30.28,VFID2881,NGC4525,HPESL100A_J123352.2+301638,green,188.467567,30.27728,0.000261,0.000226,234.847,5.795,null,104.955,15.606,null,0,f,1342257471
