VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,prefix
VFID0010,190.435041,74.4208611,1453.3,42.181427001953125,True,NGC4648,42595,0,0,0,NGC 4648,True,False,False,False,VFID0010,False,False,False,True,True,False,VFID0010-NGC4648
VFID0011,154.4161905,74.3473859,2944.0,36.234413146972656,True,NGC3155,30064,0,0,0,NGC 3155,True,False,False,False,VFID0011,False,False,False,True,True,False,VFID0011-NGC3155
VFID0012,110.33325,74.323799,966.0,21.733078002929688,True,PGC2761545,2761545,0,0,0,WISEA J072119.85+741922.5,True,False,False,False,VFID0012,False,False,False,False,True,False,VFID0012-WISEAJ072119.85+741922.5
VFID0013,139.6340505,74.3191954,2966.0,34.050323486328125,True,UGC04883,26284,0,0,0,UGC 04883,True,False,False,False,VFID0013,False,False,False,True,True,False,VFID0013-UGC04883
VFID0014,262.26691650000004,74.2578333,1928.2,47.98674011230469,True,UGC10892,60369,0,0,0,UGC 10892,True,False,False,False,VFID0014,False,False,False,True,True,False,VFID0014-UGC10892
VFID0015,188.9393595,74.242585,2188.3,44.067787170410156,True,NGC4572,41991,0,0,0,NGC 4572,True,False,False,False,VFID0015,False,False,False,True,True,False,VFID0015-NGC4572
VFID0016,138.6996255,74.2324722,1126.9,44.373252868652344,True,UGC04841,26071,0,0,0,Holmberg III,True,False,False,False,VFID0016,False,False,False,True,True,False,VFID0016-HolmbergIII
VFID0017,157.678335,74.2275172,2806.5,40.00564193725586,True,UGC05686,30998,0,0,0,UGC 05686,True,False,False,False,VFID0017,False,False,False,False,True,False,VFID0017-UGC05686
VFID0018,189.35429100000002,74.1918611,2001.9,87.92679595947266,True,NGC4589,42139,0,0,0,NGC 4589,True,False,False,False,VFID0018,False,False,False,True,True,False,VFID0018-NGC4589
VFID0019,155.4540195,74.1769917,3092.5,66.69929504394531,True,NGC3183,30323,0,0,0,NGC 3183,True,False,False,False,VFID0019,False,False,False,True,True,False,VFID0019-NGC3183
VFID0020,132.0193335,74.0987778,2167.8,69.2024154663086,True,NGC2633,24723,0,0,0,NGC 2633,True,False,False,False,VFID0020,False,False,False,True,True,False,VFID0020-NGC2633
VFID0021,278.702208,74.0618056,1678.8,25.010435104370117,True,PGC062075,62075,0,0,0,CGCG 340-051,True,False,False,False,VFID0021,False,False,False,True,True,False,VFID0021-CGCG340-051
VFID0022,132.0992085,74.0382222,2160.0,14.392003059387207,True,PGC213530,213530,0,0,0,WISEA J084823.84+740217.5,True,False,False,False,VFID0022,False,False,False,False,True,False,VFID0022-WISEAJ084823.84+740217.5
VFID0023,126.14016600000001,74.0123056,2269.4,28.649778366088867,True,NGC2550,23604,0,0,0,NGC 2550,True,False,False,False,VFID0023,False,False,False,True,True,False,VFID0023-NGC2550
VFID0024,132.10595849999999,73.9671111,2258.3,51.53725051879883,True,NGC2634,24749,0,0,0,NGC 2634,True,False,False,False,VFID0024,False,False,False,True,True,False,VFID0024-NGC2634
VFID0025,132.1589265,73.9393089,2086.6,35.819644927978516,True,NGC2634A,24760,0,0,0,NGC 2634A,True,False,False,False,VFID0025,False,False,False,True,True,False,VFID0025-NGC2634A
VFID0026,141.41841599999998,73.9001194,3152.1,27.36032485961914,True,PGC026731,26731,0,0,0,CGCG 332-048,True,False,False,False,VFID0026,False,False,False,True,True,False,VFID0026-CGCG332-048
VFID0027,157.6912245,73.8854228,2825.6,40.56217575073242,True,UGC05689,31011,0,0,0,UGC 05689,True,False,False,False,VFID0027,False,False,False,True,True,False,VFID0027-UGC05689
VFID0028,127.46229149999999,73.8563889,2291.7,46.14463806152344,True,UGC04413,23840,0,0,0,UGC 04413,True,False,False,False,VFID0028,False,False,False,True,True,False,VFID0028-UGC04413
VFID0029,142.8079995,73.8105833,3113.1,33.19871520996094,True,UGC05052,27027,0,0,0,UGC 05052,True,False,False,False,VFID0029,False,False,False,True,True,False,VFID0029-UGC05052
VFID0030,158.5963845,73.7650129,1148.8,56.24983596801758,True,NGC3252,31278,0,0,0,NGC 3252,True,False,False,False,VFID0030,False,False,False,True,True,False,VFID0030-NGC3252
VFID0031,139.63647,73.7596962,2258.5,96.18807983398438,True,IC0529,26295,0,0,0,IC 0529,True,False,False,False,VFID0031,False,False,False,True,True,False,VFID0031-IC0529
VFID0032,129.9781065,73.7540147,3286.8,31.054264068603516,True,UGC04502,24360,0,0,0,UGC 04502,True,False,False,False,VFID0032,False,False,False,True,True,False,VFID0032-UGC04502
VFID0033,190.2086265,73.7189281,1863.0,34.52401351928711,True,UGC07844,42475,0,0,0,UGC 07844,True,False,False,False,VFID0033,False,False,False,True,True,False,VFID0033-UGC07844
VFID0034,114.24410999999999,73.7134065,944.9,48.65430450439453,True,UGC03909,21398,0,0,0,UGC 03909,True,False,False,False,VFID0034,False,False,False,True,True,False,VFID0034-UGC03909
VFID0035,194.9850765,73.6926949,1664.6,28.649778366088867,True,UGC08120,44672,0,0,0,UGC 08120,True,False,False,False,VFID0035,False,False,False,True,True,False,VFID0035-UGC08120
VFID0036,163.478541,73.6903611,1261.7,83.39139556884766,True,NGC3403,32719,0,0,0,NGC 3403,True,False,False,False,VFID0036,False,False,False,True,True,False,VFID0036-NGC3403
VFID0037,188.8853745,73.6748333,1148.0,25.183799743652344,True,UGC07767,41947,0,0,0,UGC 07767,True,False,False,False,VFID0037,False,False,False,True,True,False,VFID0037-UGC07767
