VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,Herschelflag,prefix
VFID5676,186.859668,6.2629711,1447.8,60.69057465,TRUE,NGC4430,40851,329908,67328,7566,NGC 4430,TRUE,TRUE,TRUE,TRUE,VFID5693,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5676-NGC4430
VFID5713,189.801774,6.0122708,2428.3,42.57172394,TRUE,NGC4591,42319,150674,30944,7821,NGC 4577,TRUE,TRUE,TRUE,TRUE,VFID5730,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5713-NGC4577
VFID5743,186.787635,5.8806639,1121.5,61.53486633,TRUE,NGC4423,40801,572832,124519,7556,NGC 4423,TRUE,TRUE,TRUE,TRUE,VFID5760,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5743-NGC4423
VFID5759,183.6605715,5.8055651,2079.5,85.13757324,TRUE,NGC4197,39114,593840,140978,7247,NGC 4197,TRUE,TRUE,TRUE,TRUE,VFID5776,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5759-NGC4197
VFID5776,186.980784,5.7211581,2248.5,36.82317734,TRUE,UGC07579,40933,667933,161822,7579,UGC 07579,TRUE,TRUE,TRUE,TRUE,VFID5793,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5776-UGC07579
VFID5842,208.7435295,5.3337007,1369.8,84.9417572,TRUE,NGC5356,49468,153757,31560,8831,NGC 5356,TRUE,TRUE,TRUE,TRUE,VFID5859,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5842-NGC5356
VFID5846,192.4909875,5.3113381,651.4,49.7876091,TRUE,NGC4713,43413,151045,31028,7985,NGC 4713,TRUE,TRUE,TRUE,TRUE,VFID5863,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5846-NGC4713
VFID5852,185.775741,5.2504518,1663.5,88.94493866,TRUE,NGC4324,40179,667444,161632,7451,NGC 4324,TRUE,TRUE,TRUE,TRUE,VFID5869,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5852-NGC4324
VFID5855,208.5469185,5.227286,1450.3,116.4451065,TRUE,NGC5348,49411,630795,144056,8821,NGC 5348,TRUE,TRUE,TRUE,TRUE,VFID5872,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5855-NGC5348
VFID5889,209.0498895,5.0146562,1239.7,114.0568161,TRUE,NGC5364,49555,593369,144118,8853,NGC 5364,TRUE,TRUE,TRUE,TRUE,VFID5906,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5889-NGC5364
VFID5905,220.74156,4.8896824,1584.1,62.53472519,TRUE,IC1048,52564,88064,18301,9483,IC 1048,TRUE,TRUE,TRUE,TRUE,VFID5922,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5905-IC1048
VFID5960,185.478414,4.4737765,1566.8,206.5956879,TRUE,NGC4303,40001,628187,141222,7420,MESSIER 061,TRUE,TRUE,TRUE,TRUE,VFID5977,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,VFID5960-MESSIER061
VFID5962,193.310358,4.4633294,717.3,34.68336868,TRUE,NGC4765,43775,150802,30972,8018,NGC 4765,TRUE,TRUE,TRUE,TRUE,VFID5979,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5962-NGC4765
VFID5964,218.351295,4.4504957,1582.9,57.16382217,TRUE,NGC5668,52018,681862,165200,9363,NGC 5668,TRUE,TRUE,TRUE,TRUE,VFID5981,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5964-NGC5668
VFID5988,193.953987,4.3041769,761.1,70.81434631,TRUE,NGC4808,44086,592928,142539,8054,NGC 4808,TRUE,TRUE,TRUE,TRUE,VFID6005,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5988-NGC4808
VFID5992,187.6116015,4.246492,2432,56.77030945,TRUE,NGC4480,41317,668202,161911,7647,NGC 4480,TRUE,TRUE,TRUE,TRUE,VFID6009,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5992-NGC4480
VFID5995,185.072505,4.2019622,1732.3,59.72019958,TRUE,UGC07387,39794,667129,161514,7387,UGC 07387,TRUE,TRUE,TRUE,TRUE,VFID6012,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5995-UGC07387
VFID6018,215.018397,3.992753,1730.2,103.5431213,TRUE,NGC5560,51223,680808,164836,9172,NGC 5560,TRUE,TRUE,TRUE,TRUE,VFID6035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6018-NGC5560
VFID6020,215.133768,3.9832001,1779.5,33.42883682,TRUE,NGC5569,51241,680849,164850,9176,NGC 5569,TRUE,TRUE,TRUE,TRUE,VFID6037,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6020-NGC5569
VFID6023,186.650277,3.9647883,2258.7,44.8870697,TRUE,NGC4412,40715,667785,161765,7536,NGC 4412,TRUE,TRUE,TRUE,TRUE,VFID6040,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID6023-NGC4412
VFID6028,207.0668595,3.9508765,1171.4,84.9417572,TRUE,NGC5300,48959,152846,31426,8727,NGC 5300,TRUE,TRUE,TRUE,TRUE,VFID6045,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6028-NGC5300
VFID6033,215.0826915,3.9335328,1529,160.7389984,TRUE,NGC5566,51233,86572,17878,9175,NGC 5566,TRUE,TRUE,TRUE,TRUE,VFID6050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6033-NGC5566
VFID6048,217.50768,3.7728979,1719.4,28.98152542,TRUE,IC1022,51808,87358,18052,9311,IC 1022,TRUE,TRUE,TRUE,TRUE,VFID6065,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6048-IC1022
