vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01
VFID5292,204.3834195,8.885176,1152.1,122.2140808,TRUE,NGC5248,48130,0,143701,8616,NGC 5248,TRUE,FALSE,TRUE,TRUE,VFID5308,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5292-NGC5248
VFID5842,208.7435295,5.3337007,1369.8,84.9417572,TRUE,NGC5356,49468,153757,31560,8831,NGC 5356,TRUE,TRUE,TRUE,TRUE,VFID5859,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5842-NGC5356
VFID5855,208.5469185,5.227286,1450.3,116.4451065,TRUE,NGC5348,49411,630795,144056,8821,NGC 5348,TRUE,TRUE,TRUE,TRUE,VFID5872,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5855-NGC5348
VFID5889,209.0498895,5.0146562,1239.7,114.0568161,TRUE,NGC5364,49555,593369,144118,8853,NGC 5364,TRUE,TRUE,TRUE,TRUE,VFID5906,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5889-NGC5364
VFID5905,220.74156,4.8896824,1584.1,62.53472519,TRUE,IC1048,52564,88064,18301,9483,IC 1048,TRUE,TRUE,TRUE,TRUE,VFID5922,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5905-IC1048
VFID5949,185.6134035,4.5662732,1279.3,34.05032349,TRUE,NGC4303A,40087,628205,141242,7439,NGC 4301,TRUE,TRUE,TRUE,TRUE,VFID5966,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5949-NGC4301
VFID5960,185.478414,4.4737765,1566.8,206.5956879,TRUE,NGC4303,40001,628187,141222,7420,MESSIER 061,TRUE,TRUE,TRUE,TRUE,VFID5977,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,VFID5960-MESSIER061
VFID5964,218.351295,4.4504957,1582.9,57.16382217,TRUE,NGC5668,52018,681862,165200,9363,NGC 5668,TRUE,TRUE,TRUE,TRUE,VFID5981,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5964-NGC5668
VFID6018,215.018397,3.992753,1730.2,103.5431213,TRUE,NGC5560,51223,680808,164836,9172,NGC 5560,TRUE,TRUE,TRUE,TRUE,VFID6035,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6018-NGC5560
VFID6028,207.0668595,3.9508765,1171.4,84.9417572,TRUE,NGC5300,48959,152846,31426,8727,NGC 5300,TRUE,TRUE,TRUE,TRUE,VFID6045,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6028-NGC5300
VFID6048,217.50768,3.7728979,1719.4,28.98152542,TRUE,IC1022,51808,87358,18052,9311,IC 1022,TRUE,TRUE,TRUE,TRUE,VFID6065,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID6048-IC1022
VFID6091,215.3045715,3.4358432,1489.1,85.92533875,TRUE,NGC5577,51286,87038,144923,9187,NGC 5577,TRUE,TRUE,TRUE,TRUE,VFID6108,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6091-NGC5577
VFID6098,219.575478,3.4103085,1600.7,28.64977837,TRUE,NGC5692,52317,87646,18153,9427,NGC 5692,TRUE,TRUE,TRUE,TRUE,VFID6115,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6098-NGC5692
VFID6340,221.233062,1.9549057,1711.4,217.3307953,TRUE,NGC5746,52665,683040,145554,9499,NGC 5746,TRUE,TRUE,TRUE,TRUE,VFID6357,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID6340-NGC5746
VFID6380,215.8630875,1.7262628,1396.2,62.96819687,TRUE,UGC09215,51400,681071,164911,9215,UGC 09215,TRUE,TRUE,TRUE,TRUE,VFID6397,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6380-UGC09215
VFID6603,218.1187425,0.2940298,1620.5,53.22568512,TRUE,UGC09348,51957,14284,2473,9348,UGC 09348,TRUE,TRUE,TRUE,TRUE,VFID6620,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID6603-UGC09348
