cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid,vr,70micronsflag,100micronsflag
1038,9.445318,-112.801457,211.85,55.1,VFID1037,NGC5486,HPESL100A_J140723.9+550607,green,211.849811,55.101996,0.000436,0.00025,300.442,7.238,null,92.71,20.404,null,0,f,1342259352,1381.8,FALSE,TRUE
1041,12.869644,100.993122,176.06,55.03,VFID1040,NGC3846A,HPESL100A_J114416.2+550203,green,176.067847,55.034304,0.000377,0.000216,289.156,6.129,null,88.127,14.126,null,0,f,1342255870,1428.1,FALSE,TRUE
1047,0.570708,20.288767,211.8,55,VFID1046,NGC5485,HPESL160A_J140711.3+550006,red,211.797375,55.001775,0.000124,7.10E-05,694.772,23.859,23.516,47.434,25.608,12.489,0.487708,f,1342237180,1904.5,FALSE,TRUE
1098,3.128482,-15.268255,163.66,54.31,VFID1097,NGC3448,HPESL160A_J105439.3+541821,red,163.663784,54.305952,4.50E-05,2.60E-05,5899.725,37.334,21.678,384.085,24.224,13.838,0.571259,f,1342232409,1372,FALSE,TRUE
1099,37.784791,-16.926658,174.2,54.29,VFID1098,NGC3756,HPESL160A_J113646.7+541813,red,174.194887,54.303631,0.000223,0.00013,1411.42,13.639,3.634,151.39,41.004,null,0,f,1342255872,1287.1,FALSE,TRUE
1174,1.377005,20.567127,170.26,53.17,VFID1173,NGC3631,HPESL160A_J112102.9+531012,red,170.262224,53.169914,0.00011,6.60E-05,7706.332,50.831,17.966,352.1,29.918,24.068,0.804474,f,1342255696,1163.2,FALSE,TRUE
1176,25.325283,19.633764,173.46,53.13,VFID1175,NGC3729,HPESL100A_J113350.3+530757,green,173.4598,53.132472,6.90E-05,4.20E-05,1677.445,5.726,null,792.927,16.158,null,0,f,1342255876,1018.9,FALSE,TRUE
1183,0.932066,106.95811,173.15,53.07,VFID1182,NGC3718,HPESL160A_J113234.9+530404,red,173.145612,53.067824,0.000118,7.10E-05,1379.336,15.413,5.408,164.728,39.621,13.207,0.333325,f,1342231243,992.8,TRUE,FALSE
1212,14.605584,158.831862,162.27,52.34,VFID1211,PGC032356,HPESL070A_J104905.6+521954,blue,162.273432,52.331716,0.000388,0.000237,171.862,12.428,3.002,21.773,13.333,null,0,f,1342195827,2365.1,TRUE,TRUE
1213,27.990877,116.859785,178.45,52.33,VFID1212,NGC3953,HPESL100A_J115351.7+521923,green,178.465573,52.323174,0.000259,0.000158,409.587,4.626,null,340.274,28.596,null,0,f,1342255880,1051,FALSE,TRUE
1275,22.458096,73.059349,140.51,50.98,VFID1274,NGC2841,HPESL100A_J092204.9+505842,green,140.520544,50.978435,0.000181,0.000114,413.154,6.125,2.903,130.494,23.919,9.16,0.382953,f,1342207167,635.4,TRUE,TRUE
1292,22.557819,164.959466,211.59,50.73,VFID1291,NGC5480,HPESL070A_J140622.2+504309,blue,211.592492,50.719052,8.30E-05,5.30E-05,1475.107,3.919,null,438.608,19.836,15.697,0.791362,f,1342257493,1906.5,TRUE,TRUE
