cntr_01,dist_x,pang_x,vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
80,36.168612,-19.752121,VFID1578,202.150656,46.7678162,2437.8,12.621798515,True,PGC2286797,2286797,301961,61694,0,WISEA J132836.15+464604.0,True,True,True,False,VFID1580,False,False,True,False,True,True,VFID1578-WISEAJ132836.15+464604.0,HPESL160A_J132834.9+464638,red,202.145698,46.777272,0.000827,0.000567,106.792,3.058,3.072,63.777,25.985,null,0.0,f,1342178528
94,31.4236,-154.72419,VFID1754,180.790416,44.5312149,704.3,177.06031799,True,NGC4051,38068,627684,140667,0,NGC 4051,True,True,True,False,VFID1756,True,True,True,True,True,False,VFID1754-NGC4051,HPESL160A_J120308.4+443124,red,180.785189,44.523322,0.000139,9.9e-05,1112.811,4.163,2.010,573.914,38.619,14.276,0.369663,f,1342221164
94,31.674227,-153.647406,VFID1754,180.790416,44.5312149,704.3,177.06031799,True,NGC4051,38068,627684,140667,0,NGC 4051,True,True,True,False,VFID1756,True,True,True,True,True,False,VFID1754-NGC4051,HPESL070A_J120308.3+443124,blue,180.784938,44.523331,0.000128,9.1e-05,569.471,0.449,null,1726.231,12.563,7.926,0.630855,f,1342221164
94,37.568074,174.283716,VFID1754,180.790416,44.5312149,704.3,177.06031799,True,NGC4051,38068,627684,140667,0,NGC 4051,True,True,True,False,VFID1756,True,True,True,True,True,False,VFID1754-NGC4051,HPESL100A_J120310.0+443115,green,180.791874,44.520831,2.8e-05,2e-05,879.47,4.458,3.572,472.513,19.04,7.876,0.413648,f,1342256164
94,37.660275,174.352073,VFID1754,180.790416,44.5312149,704.3,177.06031799,True,NGC4051,38068,627684,140667,0,NGC 4051,True,True,True,False,VFID1756,True,True,True,True,True,False,VFID1754-NGC4051,HPESL070A_J120310.0+443115,blue,180.79186,44.520804,0.000111,7.9e-05,367.789,2.258,3.654,335.538,14.287,6.068,0.424683,f,1342221164
99,0.415956,-147.143702,VFID1803,183.320361,43.6985004,919.9,128.56455994,True,NGC4183,38988,298117,60664,0,NGC 4183,True,True,True,False,VFID1805,False,False,True,True,True,True,VFID1803-NGC4183,HPESL100A_J121316.8+434154,green,183.320274,43.698403,3.7e-05,2.7e-05,939.779,18.644,8.382,152.183,14.023,8.599,0.613191,f,1342256168
99,0.84669,-43.647601,VFID1803,183.320361,43.6985004,919.9,128.56455994,True,NGC4183,38988,298117,60664,0,NGC 4183,True,True,True,False,VFID1805,False,False,True,True,True,True,VFID1803-NGC4183,HPESL160A_J121316.8+434155,red,183.320136,43.698671,6.2e-05,4.5e-05,1504.403,20.882,10.476,130.564,29.138,13.576,0.465902,f,1342256168
99,20.569144,171.498075,VFID1803,183.320361,43.6985004,919.9,128.56455994,True,NGC4183,38988,298117,60664,0,NGC 4183,True,True,True,False,VFID1805,False,False,True,True,True,True,VFID1803-NGC4183,HPESL100A_J121317.1+434134,green,183.321529,43.69285,0.000164,0.000119,758.612,12.257,null,130.588,14.594,null,0.0,f,1342256168
99,26.037991,-13.51955,VFID1803,183.320361,43.6985004,919.9,128.56455994,True,NGC4183,38988,298117,60664,0,NGC 4183,True,True,True,False,VFID1805,False,False,True,True,True,True,VFID1803-NGC4183,HPESL100A_J121316.3+434220,green,183.318022,43.705533,0.000293,0.000212,476.812,7.785,null,133.509,20.854,null,0.0,f,1342256168
100,15.654455,129.718842,VFID1804,182.3740425,43.6852719,875.5,85.530548096,True,NGC4138,38643,665798,161123,0,NGC 4138,True,True,True,False,VFID1806,True,True,True,True,True,True,VFID1804-NGC4138,HPESL160A_J120930.8+434057,red,182.378668,43.682493,0.000147,0.000106,2204.223,13.787,4.457,274.972,46.136,null,0.0,f,1342235139
100,18.386669,135.746943,VFID1804,182.3740425,43.6852719,875.5,85.530548096,True,NGC4138,38643,665798,161123,0,NGC 4138,True,True,True,False,VFID1806,True,True,True,True,True,True,VFID1804-NGC4138,HPESL070A_J120930.9+434054,blue,182.378971,43.681614,0.000234,0.000169,763.496,3.988,null,327.28,19.017,null,0.0,f,1342235139
100,20.383893,155.589993,VFID1804,182.3740425,43.6852719,875.5,85.530548096,True,NGC4138,38643,665798,161123,0,NGC 4138,True,True,True,False,VFID1806,True,True,True,True,True,True,VFID1804-NGC4138,HPESL070A_J120930.5+434048,blue,182.377278,43.680116,0.000257,0.000186,616.212,3.48,null,334.163,18.551,null,0.0,t,1342221162
121,4.337835,101.2663,VFID1934,139.3790535,41.9941715,1870.0,52.859279633,True,NGC2799,26238,229868,47220,0,NGC 2799,True,True,True,False,VFID1936,True,True,True,True,True,True,VFID1934-NGC2799,HPESL160A_J091731.3+415938,red,139.380644,41.993936,4.6e-05,3.4e-05,835.398,22.228,14.632,64.867,25.424,11.366,0.447054,t,1342207162
121,26.387585,125.909806,VFID1934,139.3790535,41.9941715,1870.0,52.859279633,True,NGC2799,26238,229868,47220,0,NGC 2799,True,True,True,False,VFID1936,True,True,True,True,True,True,VFID1934-NGC2799,HPESL070A_J091732.8+415924,blue,139.387041,41.989872,0.000238,0.000177,174.487,5.698,5.063,79.488,11.781,6.961,0.59089,f,1342209366
121,27.672348,126.031002,VFID1934,139.3790535,41.9941715,1870.0,52.859279633,True,NGC2799,26238,229868,47220,0,NGC 2799,True,True,True,False,VFID1936,True,True,True,True,True,True,VFID1934-NGC2799,HPESL100A_J091732.9+415923,green,139.387417,41.98965,0.000153,0.000114,311.418,4.494,5.380,167.175,15.27,6.918,0.453062,f,1342207163
122,3.843367,5.776744,VFID1939,139.34034,41.910946,1673.9,27.109483719,True,UGC04904,26231,229871,135806,0,UGC 04904,True,True,True,False,VFID1941,False,True,True,True,True,True,VFID1939-UGC04904,HPESL160A_J091721.7+415443,red,139.340484,41.912008,0.000142,0.000106,347.477,13.96,11.024,31.921,27.391,14.624,0.533877,t,1342207162
126,36.571246,102.793059,VFID1953,206.329785,41.7124718,2559.1,97.078094482,True,NGC5290,48767,677259,163956,0,NGC 5290,True,True,True,False,VFID1955,True,True,True,True,True,True,VFID1953-NGC5290,HPESL070A_J134522.3+414237,blue,206.343055,41.710222,0.00026,0.000194,353.349,2.363,null,289.79,18.386,null,0.0,f,1342237376
144,33.211148,-153.654076,VFID2066,208.340064,40.3639366,2320.0,80.560333252,True,NGC5350,49347,275977,56482,0,NGC 5350,True,True,True,False,VFID2068,True,False,True,True,True,False,VFID2066-NGC5350,HPESL160A_J135320.3+402120,red,208.334691,40.355669,0.00033,0.000252,1813.301,11.948,3.888,263.524,57.087,null,0.0,f,1342259346
144,38.583105,-149.323439,VFID2066,208.340064,40.3639366,2320.0,80.560333252,True,NGC5350,49347,275977,56482,0,NGC 5350,True,True,True,False,VFID2068,True,False,True,True,True,False,VFID2066-NGC5350,HPESL070A_J135319.8+402117,blue,208.332889,40.354719,0.000129,9.8e-05,470.799,4.048,5.275,249.512,12.875,null,0.0,f,1342259346
206,1.732189,-34.693097,VFID2313,159.067704,37.3246539,1568.8,92.282905579,True,NGC3294,31428,653786,158541,0,NGC 3294,True,True,True,False,VFID2315,True,True,True,True,True,True,VFID2313-NGC3294,HPESL160A_J103616.1+371930,red,159.06736,37.32505,5.4e-05,4.3e-05,4657.076,14.373,4.233,700.537,35.334,20.247,0.573021,f,1342255451
206,25.287102,-57.606399,VFID2313,159.067704,37.3246539,1568.8,92.282905579,True,NGC3294,31428,653786,158541,0,NGC 3294,True,True,True,False,VFID2315,True,True,True,True,True,True,VFID2313-NGC3294,HPESL100A_J103614.4+371942,green,159.060245,37.328417,4.1e-05,3.3e-05,2606.088,8.576,null,626.267,14.866,5.816,0.391224,f,1342255451
206,32.97337,115.841857,VFID2313,159.067704,37.3246539,1568.8,92.282905579,True,NGC3294,31428,653786,158541,0,NGC 3294,True,True,True,False,VFID2315,True,True,True,True,True,True,VFID2313-NGC3294,HPESL100A_J103618.7+371914,green,159.07807,37.320661,6.2e-05,5e-05,3882.26,11.733,null,657.496,20.628,null,0.0,f,1342255451
221,13.656513,66.800543,VFID2463,203.9799645,35.5882516,2230.0,54.969432831,True,NGC5240,47971,422721,87805,8587,NGC 5240,True,True,True,True,VFID2465,False,True,True,True,True,True,VFID2463-NGC5240,HPESL100A_J133556.2+353523,green,203.984252,35.589746,0.000254,0.000206,373.483,6.612,null,96.655,19.212,6.397,0.33295,t,1342210480
234,2.567897,52.059573,VFID2544,162.1034055,34.7114023,1628.1,60.550991058,True,NGC3381,32302,431962,90176,5909,NGC 3381,True,True,True,True,VFID2546,True,True,True,True,True,True,VFID2544-NGC3381,HPESL160A_J104824.9+344243,red,162.10409,34.711841,8.2e-05,6.8e-05,1635.923,21.382,9.057,125.994,29.441,12.246,0.415941,f,1342255910
257,22.743142,104.226599,VFID2620,208.324161,33.4908244,2371.2,48.654304504,True,NGC5347,49342,448022,94340,8805,NGC 5347,True,True,True,True,VFID2622,True,True,True,True,True,True,VFID2620-NGC5347,HPESL160A_J135319.5+332921,red,208.331504,33.489272,0.000221,0.000185,963.824,6.16,4.438,177.946,47.471,null,0.0,t,1342246878
273,30.003527,-123.60287,VFID2665,162.4794795,32.9908234,1694.2,92.922576904,True,NGC3396,32434,432222,90215,0,NGC 3396,True,True,True,False,VFID2667,False,True,True,True,True,True,VFID2665-NGC3396,HPESL070A_J104953.0+325910,blue,162.471204,32.986211,6.9e-05,5.8e-05,2045.426,3.752,null,583.222,15.961,8.467,0.530474,f,1342221104
274,3.376631,-46.127077,VFID2667,162.4587915,32.9828333,1619.0,47.986740112,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,HPESL160A_J104949.9+325901,red,162.457985,32.983483,1.2e-05,1e-05,4487.384,30.992,10.900,313.427,30.425,19.253,0.63281,t,1342221104
274,3.623009,-41.504908,VFID2667,162.4587915,32.9828333,1619.0,47.986740112,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,HPESL100A_J104949.9+325901,green,162.457996,32.983587,1.8e-05,1.5e-05,5266.727,42.24,null,342.933,17.242,null,0.0,f,1342221106
274,5.429674,-53.187254,VFID2667,162.4587915,32.9828333,1619.0,47.986740112,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,HPESL070A_J104949.7+325901,blue,162.457352,32.983737,2.5e-05,2.1e-05,3897.739,32.168,null,290.386,16.787,null,0.0,f,1342221104
274,16.323493,38.412448,VFID2667,162.4587915,32.9828333,1619.0,47.986740112,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,HPESL070A_J104950.9+325911,blue,162.46215,32.986386,3e-05,2.5e-05,2411.528,6.657,null,440.81,17.342,null,0.0,f,1342221104
274,39.404888,72.024678,VFID2667,162.4587915,32.9828333,1619.0,47.986740112,True,NGC3395,32424,625359,138144,5931,NGC 3395,True,True,True,True,VFID2669,False,True,True,True,True,True,VFID2667-NGC3395,HPESL070A_J104953.0+325910,blue,162.471204,32.986211,6.9e-05,5.8e-05,2045.426,3.752,null,583.222,15.961,8.467,0.530474,f,1342221104
275,0.396111,177.845068,VFID2670,163.0475205,32.950424,1583.5,119.70747375,True,NGC3430,32614,432253,90222,5982,NGC 3430,True,True,True,True,VFID2672,True,True,True,True,True,True,VFID2670-NGC3430,HPESL160A_J105211.4+325701,red,163.047525,32.950314,7.7e-05,6.5e-05,3656.79,20.91,6.496,343.998,25.04,19.866,0.793376,f,1342255914
280,31.293727,-63.259952,VFID2677,162.943305,32.9003095,1530.1,74.665718079,True,NGC3424,32584,625432,138221,5972,NGC 3424,True,True,True,True,VFID2679,True,True,True,True,True,True,VFID2677-NGC3424,HPESL100A_J105144.1+325415,green,162.934059,32.90422,1.9e-05,1.6e-05,3228.424,2.312,5.565,4585.714,14.231,8.078,0.567657,f,1342255914
302,6.827115,-63.492086,VFID2760,174.935796,31.9312405,2669.0,59.857868195,True,NGC3788,36160,426632,88792,6623,NGC 3788,True,True,True,True,VFID2762,True,True,True,True,True,True,VFID2760-NGC3788,HPESL070A_J113944.1+315556,blue,174.933796,31.932087,6.7e-05,5.7e-05,927.596,4.414,4.196,329.701,15.561,null,0.0,f,1342223319
302,8.772551,163.81205,VFID2760,174.935796,31.9312405,2669.0,59.857868195,True,NGC3788,36160,426632,88792,6623,NGC 3788,True,True,True,True,VFID2762,True,True,True,True,True,True,VFID2760-NGC3788,HPESL160A_J113944.7+315544,red,174.936596,31.9289,0.000132,0.000112,2555.279,16.292,5.856,323.727,36.638,null,0.0,f,1342223319
302,14.120653,154.446635,VFID2760,174.935796,31.9312405,2669.0,59.857868195,True,NGC3788,36160,426632,88792,6623,NGC 3788,True,True,True,True,VFID2762,True,True,True,True,True,True,VFID2760-NGC3788,HPESL070A_J113945.0+315540,blue,174.93779,31.927702,5.5e-05,4.7e-05,877.031,4.979,11.178,366.75,15.19,6.709,0.441656,f,1342223319
302,18.35385,-9.420894,VFID2760,174.935796,31.9312405,2669.0,59.857868195,True,NGC3788,36160,426632,88792,6623,NGC 3788,True,True,True,True,VFID2762,True,True,True,True,True,True,VFID2760-NGC3788,HPESL070A_J113944.3+315611,blue,174.934813,31.93627,0.000113,9.6e-05,1042.244,4.527,null,400.431,13.502,7.438,0.55086,f,1342223319
304,22.100422,58.664276,VFID2764,174.926754,31.9071305,2700.9,58.765338898,True,NGC3786,36158,627102,140004,0,NGC 3786,True,True,True,False,VFID2766,True,True,True,True,True,False,VFID2764-NGC3786,HPESL070A_J113943.9+315437,blue,174.932931,31.910323,8.1e-05,6.9e-05,1112.782,4.618,null,293.264,15.382,8.807,0.572569,f,1342223319
315,6.346417,-77.026723,VFID2795,186.0464025,31.5219141,1251.0,41.411529541,True,NGC4359,40330,428159,89276,7483,NGC 4359,True,True,True,True,VFID2797,True,True,True,True,True,True,VFID2795-NGC4359,HPESL100A_J122410.6+313120,green,186.044387,31.52231,0.000128,0.000109,720.694,15.647,null,113.757,14.474,null,0.0,f,1342257125
315,9.001963,-75.159185,VFID2795,186.0464025,31.5219141,1251.0,41.411529541,True,NGC4359,40330,428159,89276,7483,NGC 4359,True,True,True,True,VFID2797,True,True,True,True,True,True,VFID2795-NGC4359,HPESL160A_J122410.4+313121,red,186.043567,31.522555,0.000135,0.000115,965.373,16.232,10.888,103.035,36.84,13.941,0.378429,f,1342257125
