|    VFID|                RA|               DEC|                vr|    radius|radius_flag|                  objname|    PGC|NSAIDV1|NSAIDV0|   AGC|                     NEDname|HLflag|NSAV1flag|NSAV0flag|A100flag| VFID_V1|COflag|HAflag|HAobsflag|Z0MGSflag|Steerflag|unwiseflag|                              prefix|Herschelflag|HerschelFlag|
|    char|            double|            double|            double|     float|       char|                     char|   long|   long|   long|  long|                        char|  char|     char|     char|    char|    char|  char|  char|     char|     char|     char|      char|                                char|        char|        char|
|        |                  |                  |                  |    arcsec|           |                         |       |       |       |      |                            |      |         |         |        |        |      |      |         |         |         |          |                                    |            |            |
|    null|              null|              null|              null|      null|       null|                     null|   null|   null|   null|  null|                        null|  null|     null|     null|    null|    null|  null|  null|     null|     null|     null|      null|                                null|        null|        null|
 VFID0787         176.057253         57.9481492             1299.0  42.768227        True                   NGC3838   36505       0       0      0                     NGC 3838   True     False     False    False VFID0788   True   True      True      True      True       True                     VFID0787-NGC3838        False        False 
 VFID0796 176.21700149999998         57.8735294             1285.2  20.754929        True                 PGC036585   36585       0       0      0                 CGCG 292-024   True     False     False    False VFID0797  False  False      True     False      True       True                 VFID0796-CGCG292-024        False        False 
 VFID0935 177.08339166816708  56.34584310285328  1030.714599609375  20.755493        True                      null   -1000       0  140271      0    WISEA J114820.15+562045.4  False     False      True    False VFID0936  False   True      True     False      True      False    VFID0935-WISEAJ114820.15+562045.4        False        False 
 VFID0956         177.313767         56.0843617             1173.0  104.02106        True                   NGC3898   36921  627359  140303      0                     NGC 3898   True      True      True    False VFID0957   True   True      True      True      True       True                     VFID0956-NGC3898         True         True 
 VFID0958          177.37329          56.031838              904.1  11.564351        True   SDSSJ114929.65+560154.0 4011217  255561   52400      0     SDSS J114929.60+560154.1   True      True      True    False VFID0959  False   True      True     False      True       True     VFID0958-SDSSJ114929.60+560154.1        False        False 
 VFID0959 176.89313249999998         55.9672299             2394.4  48.208237        True                   NGC3888   36789  627325  140259      0                     NGC 3888   True      True      True    False VFID0960  False   True      True      True      True       True                     VFID0959-NGC3888        False        False 
 VFID0970        176.6419215         55.8213656             1079.0  10.892342        True                PGC2515483 2515483  255235   52336      0    WISEA J114634.08+554917.4   True      True      True    False VFID0971  False   True      True     False      True       True    VFID0970-WISEAJ114634.08+554917.4        False        False 
 VFID0990         179.156394         55.6331894             1292.4   48.31937        True                  UGC06919   37532  664377  160782      0                    UGC 06919   True      True      True    False VFID0991  False   True      True      True      True       True                    VFID0990-UGC06919        False        False 
 VFID0992        179.2592235         55.6048798             2420.5  9.4650135        True                PGC2508011 2508011  200097   41567      0    WISEA J115702.24+553617.3   True      True      True    False VFID0993  False   True      True     False      True       True    VFID0992-WISEAJ115702.24+553617.3        False        False 
 VFID0998        179.2628565         55.5867811              770.9   16.22263        True                 PGC213911  213911  200101   41569      0     SDSS J115703.08+553512.3   True      True      True    False VFID0999  False  False      True     False      True       True     VFID0998-SDSSJ115703.08+553512.3        False        False 
 VFID1008         179.398185          55.458715              687.4  42.181427        True                   NGC3990   37618  627525  140497      0                     NGC 3990   True      True      True    False VFID1009  False   True      True      True      True       True                     VFID1008-NGC3990        False        False 
 VFID1009        179.4839445         55.4535728             1043.7   82.05806        True                   NGC3998   37642  627535  140507      0                     NGC 3998   True      True      True    False VFID1010   True   True      True      True      True       True                     VFID1009-NGC3998        False        False 
 VFID1014        179.2577115         55.4198051             1208.6   18.49785        True                PGC2501414 2501414  200391   41673      0    WISEA J115701.80+552510.7   True      True      True    False VFID1015  False   True      True     False      True       True    VFID1014-WISEAJ115701.80+552510.7        False        False 
 VFID1016          179.55702         55.3879139              968.9  15.244783        True                 PGC213915  213915  200420   41677      0    WISEA J115813.70+552316.8   True      True      True    False VFID1017  False  False      True     False      True       True    VFID1016-WISEAJ115813.70+552316.8        False        False 
 VFID1018        178.9378935         55.3207262              854.0  107.67658        True                   NGC3972   37466  200396   41674      0                     NGC 3972   True      True      True    False VFID1019  False   True      True      True      True       True                     VFID1018-NGC3972        False        False 
 VFID1035        179.1171885         55.1252607             1112.2   56.50947        True                   NGC3982   37520  200397   41675      0                     NGC 3982   True      True      True    False VFID1036   True   True      True      True      True       True                     VFID1035-NGC3982         True         True 
 VFID1163        179.6971725         53.4254076             1111.3  38.825874        True                  UGC06969   37700  627570  140543      0                    UGC 06969   True      True      True    False VFID1164  False   True      True      True      True       True                    VFID1163-UGC06969        False        False 
 VFID1167         179.399919          53.374515             1047.2  211.89526        True                   NGC3992   37617       0  140498      0                  MESSIER 109   True     False      True    False VFID1168   True   True      True      True      True      False                  VFID1167-MESSIER109        False        False 
 VFID1168         179.643078         53.3454158             1122.0   15.31515        True                PGC2832098 2832098  627560  140533      0    WISEA J115834.38+532043.3   True      True      True    False VFID1169  False   True      True     False      True       True    VFID1168-WISEAJ115834.38+532043.3        False        False 
 VFID1170         179.448162          53.234497             1111.4  20.754929        True                  UGC06940   37621  664530  160810      0                    UGC 06940   True      True      True    False VFID1171  False   True      True     False      True      False                    VFID1170-UGC06940        False        False 
 VFID1174         179.206623         53.1603464             1085.0  28.649778        True                  UGC06923   37553  159410   32744      0                    UGC 06923   True      True      True    False VFID1175  False   True      True      True      True       True                    VFID1174-UGC06923        False        False 
 VFID1212        178.4542245         52.3266874             1051.0  183.70512        True                   NGC3953   37306  627439  140405      0                     NGC 3953   True      True      True    False VFID1213   True   True      True      True      True       True                     VFID1212-NGC3953         True         True 
 VFID1221 178.02949950000001         52.1079321             1032.0  50.132717        True                  UGC06840   37164  158862  140359      0                    UGC 06840   True      True      True    False VFID1222  False  False      True      True      True       True                    VFID1221-UGC06840        False        False 
 VFID1275          179.85459         50.9616836              970.2   131.5592        True                   NGC4026   37760  627596  140569      0                     NGC 4026   True      True      True    False VFID1277   True   True      True      True      True       True                     VFID1275-NGC4026        False        False 
 VFID1277 179.60664000000003         50.9170314              916.2  22.290575        True                  UGC06956   37682  627555  140528      0                    UGC 06956   True      True      True    False VFID1279  False   True      True      True      True       True                    VFID1277-UGC06956        False        False 
 VFID1286         179.217261         50.8170155              886.0  35.573063        True                  UGC06922   37550  185205   38575      0                    UGC 06922   True      True      True    False VFID1288  False  False      True      True      True       True                    VFID1286-UGC06922        False        False 
 VFID1287        181.4564115         50.7914817              826.6  14.358903        True   SDSSJ120549.54+504729.0 4011364  185468   38615      0     SDSS J120549.54+504729.0   True      True      True    False VFID1289  False  False      True     False      True       True     VFID1287-SDSSJ120549.54+504729.0        False        False 
 VFID1297         180.078783         50.6527977              743.4  40.749405        True                  UGC06992   37832  664836  160884      0                    UGC 06992   True      True      True    False VFID1299  False   True      True      True      True       True                    VFID1297-UGC06992        False        False 
 VFID1302         181.391307         50.5388391              749.4   164.4831        True                   NGC4088   38302  627750  140739      0                     NGC 4088   True      True      True    False VFID1304   True   True      True      True      True       True                     VFID1302-NGC4088        False        False 
 VFID1316         181.344603         50.3529174              783.7  66.699295        True                   NGC4085   38283  665397  161021      0                     NGC 4085   True      True      True    False VFID1318  False   True      True      True      True       True                     VFID1316-NGC4085        False        False 
 VFID1363         131.024583         49.7939042             1721.1   51.30046        True                  UGC04551   24528  622889  135464      0                    UGC 04551   True      True      True    False VFID1365   True   True      True      True      True       True                    VFID1363-UGC04551        False        False 
 VFID1374         181.535652         49.5827722             1115.0  136.81108        True                   NGC4100   38370  665481  161045      0                     NGC 4100   True      True      True    False VFID1376   True   True      True      True      True       True                     VFID1374-NGC4100         True         True 
 VFID1461        168.4391805         48.4015527             1994.6  12.249581        True                PGC2316668 2316668  183555   38137      0    WISEA J111345.42+482405.5   True      True      True    False VFID1463  False   True      True     False      True       True    VFID1461-WISEAJ111345.42+482405.5        False        False 
 VFID1471 168.56429699999998         48.3262146             2183.9  13.400508        True                PGC2315061 2315061       0       0      0    WISEA J111415.38+481934.0   True     False     False    False VFID1473  False  False      True     False      True       True    VFID1471-WISEAJ111415.38+481934.0        False        False 
 VFID1473 168.54543600000002         48.3184721             2110.6   67.16164        True                   NGC3583   34232  658581  159488      0                     NGC 3583   True      True      True    False VFID1475  False   True      True      True      True       True                     VFID1473-NGC3583        False        False 
 VFID1532        181.5047595         47.4784538              563.7   169.4811        True                   NGC4096   38361  665468  161043      0                     NGC 4096   True      True      True    False VFID1534   True   True      True      True      True       True                     VFID1532-NGC4096        False        False 
 VFID1536 168.85645350000001         47.4470974             2200.7  45.406837        True                   NGC3595   34325  658715  159520      0                     NGC 3595   True      True      True    False VFID1538   True   True      True      True      True       True                     VFID1536-NGC3595        False        False 
