cntr_01,dist_x,pang_x,vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01,col24_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid,ROW_IDX,ROW_NUM
378,9.758902,115.717397,VFID3095,1.8899034150E+02,2.7959683700E+01,8.1360000000E+02,3.1704525757E+02,True,NGC4559,42002,0,0,7766,NGC 4559,True,False,False,True,VFID3098,True,True,True,True,True,False,VFID3095-NGC4559,"(b'VFID3095', 188.9903415, 27.9596837, 813.6, 317.04526, True, b'NGC4559', 42002, 0, 0, 7766, b'NGC 4559', True, False, False, True, b'VFID3098', True, True, True, True, True, False, b'VFID3095-NGC4559')",HPESL100A_J123558.3+275731,green,188.993106,27.958507,0.000026,0.000023,1965.603,13.429,null,386.347,14.679,11.101,0.756273,f,1342187068,20,20
392,3.068424,34.177277,VFID3221,1.5892522200E+02,2.6125884600E+01,1.3964000000E+03,1.7422931671E+01,True,PGC031387,31387,497257,107609,201524,CGCG 124-041,True,True,True,True,VFID3224,True,True,True,False,True,True,VFID3221-CGCG124-041,"(b'VFID3221', 158.925222, 26.1258846, 1396.4, 17.422932, True, b'PGC031387', 31387, 497257, 107609, 201524, b'CGCG 124-041', True, True, True, True, b'VFID3224', True, True, True, False, True, True, b'VFID3221-CGCG124-041')",HPESL100A_J103542.1+260736,green,158.925755,26.126590,0.000064,0.000058,508.083,23.326,16.561,74.899,14.873,9.258,0.622470,f,1342255934,21,21
395,1.844391,134.423705,VFID3234,1.8908659800E+02,2.5987521400E+01,1.2262000000E+03,5.0248284912E+02,True,NGC4565,42038,0,141702,7772,NGC 4565,True,False,True,True,VFID3237,False,True,True,True,True,True,VFID3234-NGC4565,"(b'VFID3234', 189.086598, 25.9875214, 1226.2, 502.48285, True, b'NGC4565', 42038, 0, 141702, 7772, b'NGC 4565', True, False, True, True, b'VFID3237', False, True, True, True, True, True, b'VFID3234-NGC4565')",HPESL160A_J123620.8+255914,red,189.087005,25.987163,0.000038,0.000034,7231.154,22.891,3.904,663.922,29.682,null,0.000000,f,1342257997,22,22
395,2.911361,138.285908,VFID3234,1.8908659800E+02,2.5987521400E+01,1.2262000000E+03,5.0248284912E+02,True,NGC4565,42038,0,141702,7772,NGC 4565,True,False,True,True,VFID3237,False,True,True,True,True,True,VFID3234-NGC4565,"(b'VFID3234', 189.086598, 25.9875214, 1226.2, 502.48285, True, b'NGC4565', 42038, 0, 141702, 7772, b'NGC 4565', True, False, True, True, b'VFID3237', False, True, True, True, True, True, b'VFID3234-NGC4565')",HPESL160A_J123620.9+255913,red,189.087197,25.986918,0.000083,0.000075,7665.412,24.047,4.045,657.986,25.574,null,0.000000,f,1342257995,23,23
414,1.731971,-109.303097,VFID3300,1.5523807350E+02,2.5364921100E+01,1.2974000000E+03,1.6638771057E+01,True,UGC05588,30263,496587,107442,5588,UGC 05588,True,True,True,True,VFID3303,True,True,True,True,True,True,VFID3300-UGC05588,"(b'VFID3300', 155.2380735, 25.3649211, 1297.4, 16.638771, True, b'UGC05588', 30263, 496587, 107442, 5588, b'UGC 05588', True, True, True, True, b'VFID3303', True, True, True, True, True, True, b'VFID3300-UGC05588')",HPESL100A_J102057.0+252153,green,155.237571,25.364762,0.000035,0.000032,2111.093,84.969,null,78.388,16.535,13.640,0.824946,f,1342255471,24,24
460,2.054539,-105.296618,VFID3546,1.5444935250E+02,2.1873328100E+01,1.5832000000E+03,6.7316459656E+01,True,NGC3187,30068,500751,108488,5556,NGC 3187,True,True,True,True,VFID3549,False,True,True,True,True,False,VFID3546-NGC3187,"(b'VFID3546', 154.4493525, 21.8733281, 1583.2, 67.31646, True, b'NGC3187', 30068, 500751, 108488, 5556, b'NGC 3187', True, True, True, True, b'VFID3549', False, True, True, True, True, False, b'VFID3546-NGC3187')",HPESL100A_J101747.7+215223,green,154.448759,21.873178,0.000075,0.000070,933.267,11.505,null,185.372,21.746,null,0.000000,f,1342207146,25,25
461,9.383678,-94.663209,VFID3551,1.5452605050E+02,2.1832681500E+01,1.3171000000E+03,1.0917450714E+02,True,NGC3190,30083,624287,137020,5559,NGC 3190:[WLQ2016] X0001,True,True,True,True,VFID3554,False,True,True,True,True,False,VFID3551-NGC3190:WLQ2016X0001,"(b'VFID3551', 154.5260505, 21.8326815, 1317.1, 109.17451, True, b'NGC3190', 30083, 624287, 137020, 5559, b'NGC 3190:[WLQ2016] X0001', True, True, True, True, b'VFID3554', False, True, True, True, True, False, b'VFID3551-NGC3190:WLQ2016X0001')",HPESL160A_J101805.5+214957,red,154.523252,21.832470,0.000010,0.000009,6500.987,29.078,15.803,584.439,24.466,11.378,0.465058,t,1342207145,26,26
500,1.405610,-118.279337,VFID4179,2.3363497500E+02,1.5193793300E+01,1.9698000000E+03,4.4169376373E+01,True,NGC5953,55480,685542,166278,0,NGC 5953,True,True,True,False,VFID4182,True,False,True,True,True,True,VFID4179-NGC5953,"(b'VFID4179', 233.634975, 15.1937933, 1969.8, 44.169376, True, b'NGC5953', 55480, 685542, 166278, 0, b'NGC 5953', True, True, True, False, b'VFID4182', True, False, True, True, True, True, b'VFID4179-NGC5953')",HPESL100A_J153432.3+151137,green,233.634619,15.193608,0.000004,0.000004,12540.216,200.392,26.624,258.618,13.875,11.963,0.862185,f,1342202566,27,27
500,1.604881,-121.063060,VFID4179,2.3363497500E+02,1.5193793300E+01,1.9698000000E+03,4.4169376373E+01,True,NGC5953,55480,685542,166278,0,NGC 5953,True,True,True,False,VFID4182,True,False,True,True,True,True,VFID4179-NGC5953,"(b'VFID4179', 233.634975, 15.1937933, 1969.8, 44.169376, True, b'NGC5953', 55480, 685542, 166278, 0, b'NGC 5953', True, True, True, False, b'VFID4182', True, False, True, True, True, True, b'VFID4179-NGC5953')",HPESL070A_J153432.3+151137,blue,233.634579,15.193563,0.000009,0.000008,9189.939,115.838,34.493,298.276,13.212,11.200,0.847704,f,1342202564,28,28
518,0.964517,-2.227577,VFID5292,2.0438341950E+02,8.8851760000E+00,1.1521000000E+03,1.2221408081E+02,True,NGC5248,48130,0,143701,8616,NGC 5248,True,False,True,True,VFID5308,True,True,True,True,True,True,VFID5292-NGC5248,"(b'VFID5292', 204.3834195, 8.885176, 1152.1, 122.21408, True, b'NGC5248', 48130, 0, 143701, 8616, b'NGC 5248', True, False, True, True, b'VFID5308', True, True, True, True, True, True, b'VFID5292-NGC5248')",HPESL100A_J133732.0+085308,green,204.383409,8.885444,0.000009,0.000009,16946.964,88.561,null,655.542,19.423,14.135,0.727728,f,1342261988,29,29
